put,put,/pʊt/,put,/pʊt/,قراردادن
quit,quit,/ˈkwit/,quit,/ˈkwit/, دست کشيدن از
read,read,/red/,read,/red/,خواندن
rid,rid,/rid/,rid,/rid/,پاک کردن از
ride,rode,/roud/,ridden,/'rɪdn/,سوار شدن
ring,rang,/ræŋ/,rung,/rʌŋ/,چرخ خوردن
rise,rose,/rouz/,risen,/'rɪzən/,برخاستن
run,ran,/ræn/,run,/rʌn/,دويدن
say,said,/sed/,said,/sed/,گفتن
see,saw,/sɔ:/,seen,/si:n/,ديدن
seek,sought,/ˈsȯt/,sought,/ˈsȯt/,جستجو کردن
sell,sold,/sould/,sold,/sould/,فروختن
send,sent,/sent/,sent,/sent/,فرستادن
set,set,/set/,set,/set/,نشاندن
shake,shook,/ʃʊk/,shaken,/'ʃeɪkən/,تکان دادن
shed,shed,/ˈʃed/,shed,/ˈʃed/,ريختن
shine,shone,"/ʃoun- ʃɒn/",shone,"/ʃoun- ʃɒn/",تابيدن
shoot,shot,/ʃɒt/,shot,/ʃɒt/,گلوله زدن
show,showed,/ʃoud/,shown,/ʃoun/,نشان دادن
shrink,shrank,/ʃraŋk/,shrunk,/ʃrəŋk/,چروک شدن
shut,shut,/ʃʌt/,shut,/ʃʌt/,بستن
sing,sang,/sæŋ/,sung,/sʌŋ/,اواز خواندن
sink,sank,/sæŋk/,sunk,/sʌŋk/,غرق شدن
sit,sat,/sæt/,sat,/sæt/,نشستن
sleep,slept,/slept/,slept,/slept/,خوابيدن
slide,slid,/slid/,slid,/slid/,لغزيدن
sling,slung,/sləŋ/,slung,/sləŋ/,پرتاب کردن
slink,slinked / slunk,/sləŋk/,slinked / slunk,/sləŋk/,حرکت دزدکى
slit,slit,/ˈslit/,slit,/ˈslit/,شکافتن
smell,smelt,/smelt/,smelt,/smelt/,بوييدن
speak,spoke,/spouk/,spoken,/'spoukən/,حرف زدن
spell,spelled,/speld/,spelled,/speld/,هجى کردن
spend,spent,/spent/,spent,/spent/,صرف کردن
spill,spilt,/spɪlt/,spilt,/spɪlt/,ریختن
spin,spun,/ˈspin/,spun,/ˈspin/,چرخيدن
spit,spat,/spæt/,spat,/spæt/,بسيخ کشيدن
split,split,/splɪt/,split,/splɪt/,شکافتن
spoil,spoilt,/spoɪlt/,spoilt,/spoɪlt/,از بين بردن
spread,spread,/ˈspred/,spread,/ˈspred/,پخش کردن
spring,sprang / sprung,/ˈspraŋ/,sprung,/ˈsprəŋ/,پريدن
stand,stood,/stʊd/,stood,/stʊd/,ايستادن
steal,stole,/stoul/,stolen,/'stoulən/,دستبرد زدن
stick,stuck,/ˈstək/,stuck,/ˈstək/,چسبيدن
sting,stung,/ˈstəŋ/,stung,/ˈstəŋ/,گزيدن
stink,stunk / stank,/ˈstaŋk/,stunk,/ˈstəŋk/,بوى بد دادن
stride,strode,/ˈstrōd/,stridden,/ˈstri-dən/,گام هاى بلند برداشتن
strike,struck,/strʌk/,struck,/strʌk/,زدن
string,strung,/ˈstrəŋ/,strung,/ˈstrəŋ/,بصف کردن
swear,swore,/ˈswȯr/,sworn,/ˈswȯrn/,سوگند خوردن
sweep,swept,/ˈswept/,swept,/ˈswept/,جاروب کردن
swim,swam,/swæm/,swum,/swʌm/,شناکردن
swing,swung,/ˈswəŋ/,swung,/ˈswəŋ/,تاب خوردن
take,took,/tʊk/,taken,/'teɪkən/,گرفتن
teach,taught,/tɔ:t/,taught,/tɔ:t/,اموختن
tear,tore,/tɔr/,torn,/tɔrn/,پاره کردن
tell,told,/tould/,told,/tould/,گفتن
think,thought,/θɔ:t/,thought,/θɔ:t/,انديشيدن
throw,threw,/θru:/,thrown,/θroun/,پرت کردن
thrust,thrust,/ˈθrəst/,thrust,/ˈθrəst/,فرو کردن
tread,trod,/ˈträd/,trodden / trod,/trä-dən/,پاگذاشتن
understand,understood,/ʌndər 'stʊd/,understood,/ʌndər 'stʊd/,فهميدن
wake,woke,/wouk/,woken,/'woukən/,شب زنده دارى کردن
wear,wore,/wɔr/,worn,/wɔrn/,پوشيدن
weave,wove / weaved,/ˈwōv/,woven / weaved,/ˈwō-vən/,بافتن
wed,wed / wedded,/ˈwed/,wed / wedded,/ˈwed/,عروسى کردن با
weep,wept,/ˈwept/,wept,/ˈwept/,گريه کردن
wet,wet,/'wet/,wet,/'wet/,مرطوب کردن
win,won,/wʌn/,won,/wʌn/,پيروز شدن
wind,wound,/ˈwau̇nd/,wound,/ˈwau̇nd/,بادگذاردن
wring,wrung,/ˈrəŋ/,wrung,/ˈrəŋ/,فشردن
write,wrote,/rout/,written,/'rɪtn/,نوشتن
